original_genome_id	old_speceis_names	speceis_names_fig2
lachancea_lanzarotensis	Lachancea_lanzarotensis	Lachancea_lanzarotensis
lachancea_quebecensis	Lachancea_quebecensis	Lachancea_quebecensis
nakaseomyces_castellii	Nakaseomyces_castellii	Candida_castellii
nakaseomyces_delphensis	Nakaseomyces_delphensis	Nakaseomyces_delphensis
nakaseomyces_nivariensis	Nakaseomyces_nivariensis	Candida_nivariensis
nakaseomyces_bacillisporus	Nakaseomyces_bacillisporus	Nakaseomyces_bacillisporus
naumovozyma_castellii	Naumovozyma_castellii	Naumovozyma_castellii
naumovozyma_dairenensis	Naumovozyma_dairenensis	Naumovozyma_dairenensis
saccharomyces_cerevisiae	Saccharomyces_cerevisiae	Saccharomyces_cerevisiae
saccharomyces_uvarum	Saccharomyces_uvarum	Saccharomyces_uvarum
saccharomyces_eubayanus	Saccharomyces_eubayanus	Saccharomyces_eubayanus
saccharomyces_kudriavzevii	Saccharomyces_kudriavzevii	Saccharomyces_kudriavzevii
saccharomyces_arboricola	Saccharomyces_arboricola	Saccharomyces_arboricola
saccharomyces_paradoxus	Saccharomyces_paradoxus	Saccharomyces_paradoxus
saccharomyces_mikatae	Saccharomyces_mikatae	Saccharomyces_mikatae
tetrapisispora_blattae	Tetrapisispora_blattae	Tetrapisispora_blattae
tetrapisispora_phaffii	Tetrapisispora_phaffii	Tetrapisispora_phaffii
yHMPu5000034875_tetrapisispora_fleetii_160519	yHMPu5000034875_Tetrapisispora_fleetii	Tetrapisispora_fleetii
torulaspora_delbrueckii	Torulaspora_delbrueckii	Torulaspora_delbrueckii
yHMPu5000035652_torulaspora_maleeae_160613	yHMPu5000035652_Torulaspora_maleeae	Torulaspora_maleeae
yHMPu5000034881_torulaspora_pretoriensis_160519	yHMPu5000034881_Torulaspora_pretoriensis	Torulaspora_pretoriensis
yHMPu5000035651_torulaspora_microellipsoides_160519	yHMPu5000035651_Torulaspora_microellipsoides	Torulaspora_microellipsoides
vanderwaltozyma_polyspora	Vanderwaltozyma_polyspora	Vanderwaltozyma_polyspora
yHMPu5000035629_yueomyces_sinensis_160519	yHMPu5000035629_Yueomyces_sinensis	Yueomyces_sinensis
zygosaccharomyces_rouxii	Zygosaccharomyces_rouxii	Zygosaccharomyces_rouxii
zygosaccharomyces_bailii	Zygosaccharomyces_bailii	Zygosaccharomyces_bailii
yHMPu5000034866_zygosaccharomyces_bisporus_160519	yHMPu5000034866_Zygosaccharomyces_bisporus	Zygosaccharomyces_bisporus
yHMPu5000034862_zygotorulaspora_florentina_160519	yHMPu5000034862_Zygotorulaspora_florentina	Zygotorulaspora_florentina
hanseniaspora_valbyensis	Hanseniaspora_valbyensis	Hanseniaspora_valbyensis
hanseniaspora_uvarum	Hanseniaspora_uvarum	Hanseniaspora_uvarum
yHMPu5000035695_hanseniaspora_pseudoguilliermondii_160519	yHMPu5000035695_Hanseniaspora_pseudoguilliermondii	Hanseniaspora_pseudoguilliermondii
yHMPu5000035684_kloeckera_hatyaiensis_160519	yHMPu5000035684_Kloeckera_hatyaiensis	Kloeckera_hatyaiensis
yHMPu5000026256_zygotorulaspora_mrakii_161215	yHMPu5000026256_Zygotorulaspora_mrakii	Zygotorulaspora_mrakii
hanseniaspora_vinae	Hanseniaspora_vinae	Hanseniaspora_vineae
lachancea_waltii	Lachancea_waltii	Lachancea_waltii
yHAB160_kazachstania_kunashirensis_160519	yHAB160_Kazachstania_kunashirensis	Kazachstania_kunashirensis
yHAB132_kazachstania_martiniae_160519	yHAB132_Kazachstania_martiniae	Kazachstania_martiniae
yHAB153_kazachstania_rosinii_160519	yHAB153_Kazachstania_rosinii	Kazachstania_rosinii
yHAB147_kazachstania_taianensis_160519	yHAB147_Kazachstania_taianensis	Kazachstania_taianensis
yHAB136_kazachstania_bromeliacearum_160519	yHAB136_Kazachstania_bromeliacearum	Kazachstania_bromeliacearum
yHAB133_kazachstania_unispora_160519	yHAB133_Kazachstania_unispora	Kazachstania_unispora
yHAB134_kazachstania_turicensis_160519	yHAB134_Kazachstania_turicensis	Kazachstania_turicensis
yHAB148_kazachstania_intestinalis_160519	yHAB148_Kazachstania_intestinalis	Kazachstania_intestinalis
yHAB154_kazachstania_transvaalensis_160519	yHAB154_Kazachstania_transvaalensis	Kazachstania_transvaalensis
yHAB159_kazachstania_solicola_160519	yHAB159_Kazachstania_solicola	Kazachstania_solicola
yHAB164_kazachstania_aerobia_160519	yHAB164_Kazachstania_aerobia	Kazachstania_aerobia
yHAB155_kazachstania_spencerorum_160519	yHAB155_Kazachstania_spencerorum	Kazachstania_spencerorum
yHAB143_kazachstania_siamensis_160519	yHAB143_Kazachstania_siamensis	Kazachstania_siamensis
yHMPu5000034877_tetrapisispora_namnaonensis_160519	yHMPu5000034877_Tetrapisispora_namnaonensis	Tetrapisispora_namnaonensis
yHMPu5000034876_tetrapisispora_iriomotensis_160519	yHMPu5000034876_Tetrapisispora_iriomotensis	Tetrapisispora_iriomotensis
yHMPu5000026152_torulaspora_franciscae_160519	yHMPu5000026152_Torulaspora_franciscae	Torulaspora_franciscae
yHMPu5000034865_zygosaccharomyces_kombuchaensis_160519	yHMPu5000034865_Zygosaccharomyces_kombuchaensis	Zygosaccharomyces_kombuchaensis
yHMPu5000034957_hanseniaspora_osmophila_160519	yHMPu5000034957_Hanseniaspora_osmophila	Hanseniaspora_osmophila
yHMPu5000035696_hanseniaspora_singularis_160519	yHMPu5000035696_Hanseniaspora_singularis	Hanseniaspora_singularis
yHMPu5000034963_hanseniaspora_clermontiae_160519	yHMPu5000034963_Hanseniaspora_clermontiae	Hanseniaspora_clermontiae
